,B#7,A-0,A--2,B-3,F#5,G##2,G6,E0,G#1,G0,G1,G4,E8,D#4,D#0,A##2,F4,E--5,D#6,F-5,F1,E#8,G-3,D#2,B--2,F5,F-`4,D6,C7,C#4,G-2,D##6,D--1,C#6,E-5,G#5,F##2,B-7,G-5,E-3,A-5,D##3,G##5,D-1,B--1,E--2,A#5,C-1,G#2,B#0,A--4,F#3,F#4,E-7,D##4,D-7,F##1,B-4,A6,G2,F#1,E#6,E1,C#1,D-5,D--5,D5,A##5,D#7,E#1,A1,F-6,F6,B-2,F-3,B#3,G#0,B#2,B#4,E3,A--3,C#3,B0,A3,G##1,E-6,G3,C##3,E-2,E7,F8,E#2,E-1,F#-1,C3,A-7,B7,A##4,F#7,F-4,A#0,E--4,C#7,A0,G-`4,C#5,G#6,F##3,A#6,C4,A-6,B--3,A#1,F-7,C-5,D7,A4,F-1,B#6,G##4,G#3,F3,C-3,D##2,A-1,B3,A#4,C##1,G-0,D##5,C6,C##2,B-6,G-4,D4,E5,A-3,F0,G##6,E#3,D-6,C1,A#7,E#7,D--4,D1,F-2,E#4,B-1,G##3,C-7,C5,C##5,C2,E--3,B2,A2,F#2,C0,D#5,C-4,E6,F7,D#3,D3,B-0,A#2,A7,G-7,C##6,D0,A--1,B#5,F#0,C#~4,A--6,E#5,D-2,G#7,F##4,C#2,E4,C##4,C-6,A5,D-3,E--7,C8,G-1,F#6,D2,D-4,A#-1,B4,G#4,G7,F##5,B1,B--5,B--6,G--5,A-4,F##7,C##7,F2,F##6,B#1,B-5,E2,A--5,E--6,A#3,G-6,D#1,C-8,C-2,G5,A-2,A##3,D8,B--4,B6,B5,E-4
../MuseScore/15/5339755.musicxml,0.0,0.0,0.0,0.0,16.51041666666666,0.0,0,0.0,8.5,0.0,0.0,15.5,0,18.0,0,0.0,6.5,0.0,1.2770833333333333,0,0.0,0.0,0,0.0,0.0,6.75,0,3.5,0.0,56.5,0.0,0.0,0,16.054166666666667,0,37.51458333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,28.75,0.0,0.0,21.75,22.75,0.0,0.0,0.0,0.0,0,2/3,3.0,0.25,1.0,0.0,0,0.0,0,19.500000000000004,0,0.0,2.0,6.0,0,0,0.0,0.0,17.0,0.0,2.5,8.5,21.5,0.0,28.75,0.0,32.75,0.0,0.0,4.25,0.5,0.0,0.0,0,2.0,0.0,0,2.5,0.0,0.0,0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0,44.90833333333333,2/3,0.75,0.0,15.75,0,0.0,0.0,0.0,0,2/3,28.57499999999999,0.0,0.0,0.0,71.0,8.0,0.0,0.0,0.0,18.25,1.3333333333333333,0.0,0.0,0.0,3.25,0.0,0.0,0,21.0,28.26874999999999,0.0,0.0,0,5.25,0.0,0.0,0.0,0,0.0,0.0,0.0,11.25,0,0.0,0.0,11.5,1/3,0.0,0.0,1.75,15.75,7.25,0.0,24.85208333333332,0.0,2.6666666666666665,0.0,18.0,5.0,0.0,0.0,0,0.0,1/6,0.0,0.0,1.6666666666666663,0.0,0,0.0,4.333333333333333,0.0,0.0,0.75,11.0,34.75,0.0,0,18.69375,0.0,0,0.0,0.0,5/6,1,0.0,0.0,14.741666666666667,43.66666666666666,0.0,3.25,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0,1.5,0.0,0.0,0.0,0.0,14.75,0.0,0.5,0,0.0,2/3,9.527083333333334,0.0
../MuseScore/15/5670715.musicxml,0.0,0.0,0.0,30.95833333333333,3.875,0.0,2.208333333333333,0.0,0.25,0.0,13.625,36.16666666666666,0,5.875,0,0.0,36.33333333333332,0.0,0.375,0,1.875,0.0,6.208333333333333,0.5,0.0,17.708333333333332,0,3.458333333333333,0.125,4.875,0.25,0.0,0,0.75,21.249999999999993,3.125,0.0,0.0,6.0,15.583333333333336,8.958333333333332,0.0,0.0,1.5,0.0,0.0,1.875,0.0,1.25,0.0,0.0,8.75,13.166666666666668,0.0,0.0,0.0,0.0,37.041666666666664,0.125,25.0,0.75,0.0,0.25,0,13.625,0,21.208333333333336,0,0.0,0.0,0.625,0,1.8333333333333335,21.08333333333334,1.5,0.0,0.0,0.25,0.0,13.041666666666666,0.0,2.375,0.0,11.208333333333332,0.0,2.25,37.95833333333333,0.0,4.291666666666667,0.0,0,0.0,1.25,0,17.166666666666668,0.0,0.0,0,0.0,3.25,0.0,0.0,0,0.0,0,2.875,0,0.0,0.0,41.54166666666667,0.7916666666666666,0.0,0.75,0.0,1.0833333333333333,0,14.833333333333332,0.0,0.0,0.0,1.625,32.375,0.75,0.0,3.125,19.5,3.0,0.0,0.0,0.0,7.083333333333332,0.0,0.125,11.916666666666668,36.54166666666666,5.0,26.208333333333336,0.0,0,0.0,1.75,0.5,0.0,0,0.0,0.0,0.0,0.5,10.791666666666668,0.0,0.0,40.791666666666686,0,17.08333333333333,0.0,5.916666666666666,4.75,2.375,0.0,3.375,2.083333333333333,0.875,0.0,3.5,10.916666666666666,0.0,1.75,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.25,0.0,0.0,0.5,15.416666666666666,0.0,1/3,5.333333333333333,2.5,0,0.0,0.0,0.375,2.2916666666666665,9.875,0.0,21.291666666666668,3.25,0.0,0.0,1.875,0.25,0,0.0,20.66666666666667,0.0,0,14.541666666666666,0.0,0.0,14.625,1.25,0.0,0,1.375,0.25,0.25,0.0,0.0,28.0,10.958333333333332,0.0,0,0.0,0,4.041666666666666,37.08333333333333
../MuseScore/15/6253355.musicxml,0.0,0.0,0.0,0.25,45.91666666666667,0.0,0.25,0.0,0.0,0.0,0.0,12.75,0,16.25,0,0.0,0.0,0.0,18.66666666666667,0,0.0,0.0,0.25,19.0,0.0,1.0,0,1.0,0.0,19.75,0.0,0.0,0,20.5,0.25,33.166666666666664,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.666666666666668,0.0,0.0,86.5,43.25,0.0,0.0,0.0,0.0,0,3.6666666666666665,6.5,0.0,0.0,0.0,0,0.25,0,4.75,0,0.0,0.0,4.25,0,0,0.25,0.0,0.0,0.0,0.0,0.0,96.5,0.0,36.25,0.0,53.41666666666666,0.0,1.5,17.5,0.0,0.0,0.0,0,0.25,0.0,0,18.25,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,24.25,13.166666666666668,0.0,0.0,11.25,0,0.0,0.0,0.0,0,0,35.25,0.0,0.0,0.0,53.0,0.25,0.0,0.0,0.0,67.83333333333333,4.0,0.0,0.0,0.0,2.5,0.0,0.0,0,4.5,51.5,0.25,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.5,0,8.5,0.0,69.33333333333334,37.08333333333333,46.083333333333336,0.0,19.0,0.0,16.166666666666668,0.0,34.25,5.25,0.0,2.75,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4.0,52.0,0.0,0,33.91666666666666,0.25,0,0.0,0.0,13.083333333333332,1.25,0.0,0.0,61.0,36.5,0.0,0.0,14.5,0.0,0,0.0,0,0.0,0,0.5,0.0,0.0,1.0,59.83333333333333,0.0,0,4.0,0.0,0.0,0.0,0.0,6.75,0.25,0.0,0,0.0,0.5,29.25,0.0
../MuseScore/15/5294675.musicxml,0.0,0.0,0.0,65.25,5.5,0.0,12.0,0.0,0.0,0.0,0.0,74.29166666666666,0,0.5,0,0.0,106.70833333333331,0.0,0,0,3.0,0.0,0,0.0,0.0,103.5,0,2.25,16.0,0.0,0.0,0.0,0,0.0,61.0,0.0,0.0,0.0,0.5,92.25,95.91666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,13.0,3.0,0.0,2.5,0.0,71.75000000000001,0,47.5,0.0,0.0,0.0,0,52.25,0,27.25,0,0.0,0.0,0.5,0,29.0,23.5,0.0,0.0,0.0,0.0,0.0,53.25,0.0,2.0,0.0,64.75,0.0,23.25,82.25,0.0,17.0,0.0,0,0.0,0.0,0,108.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,153.625,12.5,0.0,0.0,0.0,0.25,0,56.125,0.0,0.0,0.0,1.5,102.75,3.0,0.0,1.0,17.75,0.25,0.0,0.0,0.0,66.75,0.0,10.5,0,25.5,47.5,130.5,0.0,0,0.0,33.33333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,135.58333333333331,0,14.0,0.0,3.5,27.5,3.0,0.0,1.5,0.0,8.5,0.0,2.0,34.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3.0,0.0,0.0,0.0,56.25,0.0,0.5,13.0,59.0,0,0.0,0.0,0,5.0,80.0,0.0,23.25,3.5,0.0,0.0,0.0,0.0,0,0.0,110.58333333333334,0.0,0,45.5,0.0,0.0,48.75000000000001,4.5,0.0,0,0.5,0.0,0.0,0.0,0.0,64.66666666666667,87.5,0.0,0,0.0,0.5,5.0,97.08333333333331
../MuseScore/15/5282755.musicxml,0.0,0.0,0.0,1.75,0.1666666666666666,0.0,0,0.0,0.0,0.0,0.0,7.875,0,0.75,0,0.0,8.75,0.0,1/6,0,0.0,0.0,0,1.5,0.0,7.416666666666667,0,0.5,0.0,0.0,0.0,0.0,0,0.1666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.625,0,0.75,0.0,0.0,0.0,0,0.0,0,18.291666666666664,0,0.0,0.0,1.75,0,1/6,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,13.916666666666666,0.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,1.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3.5,0,0.0,0.0,15.916666666666666,0,0.0,0.0,0.0,0,0,24.250000000000004,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0,5.0,25.375000000000004,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.166666666666664,0,0.0,0.0,0.0,31.25,0.0,0.0,10.375,0.0,1.25,0.0,0.0,0.25,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,21.666666666666668,0.0,0,1.2916666666666667,0.0,0,0.0,0.0,1/6,1.5,0.0,0.0,17.041666666666664,4.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.7083333333333333,5.25,0.0,0,0.0,0.0,0.0,0.0,0.0,2.833333333333333,0.0,0.0,0,0.0,0,0.7499999999999999,0.25
../MuseScore/15/5321995.musicxml,0.0,0.0,0.0,186.91666666666663,3.666666666666667,0.0,1.125,0.0,0.0,0.0,4.5,135.875,0,0.0,0,0.0,140.08333333333334,0.0,0,2/3,0.0,0.0,0,0.0,0.25,101.91666666666666,0,28.5,2.0,27.5,0.25,0.0,0,1.0,104.16666666666669,1.5,0.0,0.0,1.25,108.125,54.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,29.625,17.041666666666668,2.0,0.0,0.0,0.0,175.5,1.75,64.0,0.0,0.0,0.0,0,5.25,0,194.12500000000003,0,0.0,0.0,7.5,1/2,9.75,117.0,0.0,0.0,0.0,0.0,0.0,60.75,0.0,10.25,0.0,179.5,0.0,17.833333333333336,186.875,0.0,34.0,0.0,0,0.0,0.0,0,46.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,34.41666666666667,0,0.0,0.0,136.1,0,0.0,0.0,0.0,14.75,5.0,122.125,0.0,0.0,0.0,2.5,119.0,6.0,0.0,10.0,5.5,0.0,0.0,0.0,0.0,43.66666666666666,0.0,15.333333333333334,0.75,223.7416666666666,33.16666666666667,34.5,0.0,0,0.0,1.0,0.0,0.0,0,0.0,16.0,0.25,0.0,33.0,0.0,0.0,108.54166666666666,0,1.0,0.0,0.25,61.0,0.25,0.0,0.5,0.25,0.75,2.0,0.0,144.875,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,42.41666666666667,0.0,1.25,43.75000000000001,2.75,0,0.0,0.0,0,48.5,10.1,0.0,2.75,1.0,0.0,0.0,0.0,0.0,0,0.0,71.5,0.0,0,26.75,0.0,0.0,89.29166666666667,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,102.375,42.75,0.0,0,0.25,0,1.5,109.30833333333334
../MuseScore/15/6150615.musicxml,0.0,0.0,0.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0,8.5,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,0.0,5.0,0.0,0.0,0,2.75,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,7.5,0.0,0.0,0.0,0.0,0,0,1.75,0.0,0.0,0.0,0,0.0,0,16.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,3.25,0.0,15.75,0.0,0.0,4.25,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,11.5,11.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.25,11.25,1.5,0.0,0.0,0.0,8.75,0.0,0.0,12.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,8.75,0.0,0,28.0,0.0,0,0.0,0.0,0,2.5,0.0,0.0,3.25,0.75,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.25,0.0,0.0,0,0.0,0,6.25,0.0
../MuseScore/15/5654795.musicxml,0.0,0.0,0.0,0.0,11.937500000000002,0.0,0.5,0.0,0.0,0.0,2.0,38.41666666666666,0,5.75,0,0.0,0.0,0.0,0.5,0,0.0,0.0,0,5.0,0.0,0.0,0,0.5,0.0,2.25,0.0,0.0,0,1.5,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,21.729166666666664,0.0,0.0,0.0,0.0,0,0.5,17.25,0.0,0.0,3.0,0,0.0,0,25.25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,29.0,0.0,0.5,0.0,16.5,0.0,0.0,25.5,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5.75,0,0.0,0.0,5.75,0,0.0,0.0,0.0,0,0,23.395833333333336,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,28.75,4.6875,0.0,0.0,0.0,0.125,0.0,0.0,0,15.5,20.66666666666667,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0,0.0,0.0,18.72916666666667,0,0.0,0.0,10.0,6.0,3.5,0.0,6.145833333333333,0.0,0.5,0.0,8.0,7.0,0.0,0.0,0,0.0,0,0.0,0.0,0.5,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,26.375,0.0,0,5.458333333333333,0.0,0,0.0,0.0,0,2.0,0.0,0.0,59.12500000000004,11.5,0.0,0.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,18.0,0.0,0,0.5,0.0,0.0,0.0,0.0,11.500000000000002,0.0,0.0,0,0.0,0.75,6.708333333333333,0.0
../MuseScore/15/6289455.musicxml,0.0,0.0,0.0,1.25,9.75,0.0,3.0,0.0,1.25,0.0,35.333333333333336,70.53749999999998,0,0.0,0,0.0,37.39791666666667,0.0,0,0,25.916666666666664,0.0,0.6666666666666666,0.6666666666666666,0.0,50.38958333333333,0,19.33333333333333,0.5,13.791666666666666,0.8333333333333334,0.0,0,6.208333333333333,6.416666666666667,2.5,0.0,0.0,0.4166666666666666,1.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,3.083333333333333,0.0,0.0,12.75,18.25,0.0,0.0,0.0,0.0,1.1666666666666667,1.5,59.74999999999994,4.0,0.0,16.0,1/6,0.4166666666666666,0,83.54166666666666,0,0.0,0.0,28.75,0,5.5,1.25,0.0,0.0,0.0,0.0,0.0,39.00000000000002,0.0,8.5,0.0,41.66666666666667,0.0,0.0,50.37499999999997,0.0,4.25,0.0,0,0.0,3.583333333333333,0,42.62499999999997,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,12.583333333333332,0,0.0,0.0,56.60416666666666,0,0.0,0.0,0.0,0,0,82.48958333333331,0.0,0.0,0.0,1.75,26.41666666666668,0.25,0.0,2.333333333333333,38.68750000000001,0.25,0.0,0.0,0.0,45.5,0.0,0.0,0.6666666666666666,60.35416666666666,86.94583333333334,3.5,0.0,0,0.0,0.0,0.9166666666666666,0.0,0,0.0,8.916666666666666,0.0,0.0,0.5833333333333333,0.0,0.0,108.01041666666669,0,38.666666666666686,0.0,27.58333333333333,46.08333333333335,11.958333333333332,0.0,0.0,0.0,14.083333333333332,0.0,0.3333333333333333,48.87500000000001,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.5833333333333333,0.0,0.0,4.25,57.174999999999976,0.0,0,47.47291666666666,0.9166666666666664,0,0.0,0.4166666666666666,0.5,38.416666666666664,0.7499999999999999,0.0,72.50833333333333,3.0,0.0,0.0,17.95833333333333,0.0,0,0.0,5.166666666666667,0.0,0,32.250000000000014,0.0,0.0,0.25,34.00000000000002,0.0,0,0.0,0.0,0.0,0.0,0.25,58.43125,2.666666666666666,0.0,0,0.0,0.5,30.05625,6.75
../MuseScore/15/4799015.musicxml,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0,0.0,0,0.0,9.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,14.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,17.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
../MuseScore/15/5142815.musicxml,0.0,0.0,0.0,60.5,21.5,0.0,30.0,0.0,0.0,0.0,36.5,221.0,0,0.0,0,0.0,152.5,0.0,0,0,1.5,0.0,5.5,0.0,0.0,110.5,0,59.0,0.0,6.0,0.0,0.0,0,9.0,117.25,0.0,0.0,0.0,10.5,71.5,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,33.0,0.0,0.0,0.0,0.0,59.0,0,142.0,13.0,0.0,0.0,0,23.0,0,135.5,0,0.0,0.0,7.0,0,6.5,33.5,0.0,0.0,0.0,0.0,0.0,29.5,0.0,6.5,0.0,46.5,0.0,35.5,153.5,0.0,29.0,0.0,0,0.0,0.0,0,168.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,9.0,0,0.0,0.0,166.5,2.5,0.0,0.0,0.0,4.0,0,57.0,0.0,0.0,0.0,0.0,108.0,2.5,0.0,9.0,61.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,14.5,121.5,29.0,73.5,0.0,0,0.0,11.0,0.0,0.0,0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,178.75,0,77.0,0.0,33.0,20.5,27.0,0.0,0.0,4.5,10.0,0.0,0.0,81.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3.5,0.0,0.0,6.5,32.0,0.0,2.0,65.0,4.0,0,0.0,0.0,0,39.0,20.5,0.0,54.5,0.0,0.0,0.0,20.0,0.0,0,0.0,72.5,0.0,0,57.0,0.0,0.0,52.5,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,185.0,39.0,0.0,0,0.0,0,22.0,114.0
../MuseScore/15/33715.musicxml,0.0,0.0,0.0,0.0,24.541666666666664,0.0,0,0.0,53.25,0.0,0.0,2.25,0,78.875,0,0.0,0.0,0.0,19.75,0,0.0,0.0,0,5.125,0.0,0.0,0,0.5,0.0,131.70833333333331,0.0,0.0,0,31.33333333333333,0,100.52291666666666,23.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.656249999999996,0.0,133.25,0.0,0.0,59.54166666666667,86.65833333333332,0.0,0.0,0.0,17.625,0,0,4.0,27.375,0.0,0.0,0,0.0,0,16.75,0,0.0,2.0,21.0,0,0,0.0,0.0,76.0,0.0,17.375,41.63125000000001,46.125,0.0,86.58333333333333,0.0,41.29166666666666,0.0,0.0,1.0,1.5,0.0,0.0,0,5.25,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,111.47291666666663,0,11.125,0.0,0.0,0,0.0,3.5,0.0,0,0,54.28333333333335,0.0,0.0,0.0,179.5,0.0,0.0,0.0,0.0,18.0,19.30208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,16.166666666666668,58.92083333333333,0.0,0.0,0,8.25,0.0,0.0,0.0,0,0.0,0.0,0.0,9.7,0,0.0,0.0,1.5,0,0.0,0.0,17.0,35.125,45.375,0.0,78.78124999999999,0.0,11.833333333333334,0.0,80.75,14.583333333333334,0.0,9.25,0,0.0,0,0.0,0.0,8.0,0.0,0,0.0,10.26875,0.0,0.0,25.241666666666667,71.875,89.36666666666667,0.25,0,24.916666666666664,0.0,0,0.0,0.0,0,12.0,0.0,0.0,41.45,126.36666666666666,0.0,28.68125,13.75,0.0,0,0.0,0,0.0,0,0.0,0.0,13.375,0.0,16.125,0.0,0,18.541666666666668,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0,0.0,0,22.0875,0.0
../MuseScore/15/4996515.musicxml,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,4.5,0.0,0.0,0.0,0,29.75,0,0.0,0.0,0.0,18.75,0,0.0,0.0,0,2.5,0.0,0.0,0,0.5,0.0,39.0,0.0,0.0,0,10.5,0,36.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,43.0,0.0,0.0,2.75,7.25,0.0,0.5,0.0,0.0,0,0,0.0,0.5,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,4.0,0,0,0.0,0.0,7.5,0.0,0.5,5.75,9.25,0.0,23.75,0.0,8.0,0.0,0.0,0.0,1.25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,23.75,0,4.25,0.0,0.0,0,0.0,1.0,0.0,0,0,19.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,13.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.75,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,9.5,10.0,3.0,0.0,34.75,0.0,10.25,0.0,50.0,0.0,0.0,7.0,0,0.0,0,0.0,0.0,2.75,0.0,0,0.0,1.75,0.0,0.0,22.0,15.75,19.75,0.0,0,7.75,0.0,0,0.0,0.0,0,0.5,0.0,0.0,34.0,40.25,0.0,17.5,5.25,0.0,0,0.0,0,0.0,0,0.0,0.0,4.0,0.0,6.75,0.0,0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.25,0.0
../MuseScore/15/5574335.musicxml,0.0,0.0,0.0,4.666666666666666,0.0,0.0,0,0.0,0.0,0.0,43.0,18.666666666666657,0,0.0,0,0.0,6.666666666666664,0.0,0,0,5.0,0.0,0,0.0,0.0,5.083333333333333,0,1.3333333333333333,0.0,0.0,0.0,0.0,0,0.0,14/3,0.0,0.0,0.0,0.0,4.666666666666666,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,58.33333333333333,0.0,0.0,0.0,0,0.6666666666666666,0,9.666666666666666,0,0.0,0.0,0.0,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666663,31.33333333333333,0.0,4.0,0.0,0,0.0,0.0,0,32.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,19.916666666666675,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.333333333333334,0.0,0.0,0,6.666666666666664,0.0,10.666666666666668,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.66666666666667,0,25.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.666666666666679,0.0,0,11.0,0.0,0.0,1.3333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,13.999999999999998,0.0,0,0.0,0,0.0,15.0
